fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
离心泵流量不足 出口管路堵塞,离心泵密封泄漏 机械密封端面磨损,0.97,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 振动频谱出现冲击峰值,0.66,original
继电器线圈烧毁 电阻值无穷大,继电器接触不良 信号传输时断时续,0.58,original
离心泵流量不足 出口管路堵塞,轴承润滑脂干涸 出现干摩擦异响,0.42,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸压力不足 工作压力仅达额定60,0.5,original
离心泵流量不足 出口管路堵塞,离心泵密封泄漏 机械密封端面磨损,0.94,original
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.48,original
变频器散热风扇故障 散热片温度达75,变频器过压报警 直流母线电压达800V,0.95,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.67,original
继电器线圈烧毁 电阻值无穷大,PLC程序报错 梯形图逻辑错误导致误动作,0.47,generated
继电器误动作 无输入信号时触点自行闭合,PLC输入输出点I0 2损坏 无信号输入,0.6,generated
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.79,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,电机轴承润滑不足导致转速异常 输出转速波动 5,0.49,original
变频器参数紊乱 加速时间被异常修改,传感器数值漂移 测量值比实际值高10,0.19,original
传感器数值漂移 测量值比实际值高10,电机负载达额定120 时出现过热 绕组温度升至105,0.13,original
轴承间隙过大 径向游隙超0 15mm,轴承滚珠破损 振动频谱出现冲击峰值,0.88,original
轴承磨损异响 运转时出现周期性异音,轴承磨损异响 运转时出现周期性异音,0.65,original
电机连续运行8小时后出现异响 振动值超额定20,电机过载停机 故障代码E012 需重启复位,0.55,original
传感器响应延迟 信号滞后2秒,传感器无输出信号 接线端子接触不良,0.66,original
离心泵轴承发热 温度达75,离心泵叶轮磨损 流量下降至额定70,0.44,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵轴承发热 温度达75,0.54,original
传感器响应延迟 信号滞后2秒,轴承间隙过大 径向游隙超0 15mm,0.24,original
继电器触点烧蚀 接触电阻增大至5Ω,离心泵流量不足 出口管路堵塞,0.38,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,变频器散热风扇故障 散热片温度达75,0.02,original
继电器线圈烧毁 电阻值无穷大,继电器误动作 无输入信号时触点自行闭合,0.42,original
轴承温升过高 连续运行2小时后温度达80,轴承润滑脂干涸 出现干摩擦异响,0.99,original
PLC断电记忆丢失 参数恢复至出厂默认值,电机过载停机 故障代码E012 需重启复位,0.63,generated
离心泵轴承发热 温度达75,离心泵轴承发热 持续性温度达75,0.72,generated
电机连续运行8小时后出现异响 振动值超额定20,电机连续运行8小时后出现异响 振动值超额定20,0.42,original
继电器线圈烧毁 电阻值无穷大,电机负载达额定120 时出现过热 绕组温度升至105,0.18,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.45,original
传感器数值漂移 测量值比实际值高10,传感器无输出信号 接线端子接触不良,0.55,original
轴承温升过高 连续运行2小时后温度达80,继电器误动作 无输入信号时触点自行闭合,0.06,generated
电机负载达额定120 时出现过热 绕组温度升至105,离心泵空转异响 进口阀门未打开导致气蚀,0.3,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.5,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.53,original
传感器响应延迟 信号滞后2秒,传感器量程超限 显示值固定为最大值,0.49,original
继电器线圈烧毁 电阻值无穷大,继电器误动作 无输入信号时触点自行闭合,0.97,original
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.53,original
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.82,original
传感器无输出信号 接线端子接触不良,传感器无输出信号 频繁接线端子接触不良,0.88,generated
传感器数值漂移 测量值比实际值高10,传感器数值漂移 测量值比实际值高10,0.51,original
轴承滚珠破损 振动频谱出现冲击峰值,电机连续运行8小时后出现异响 振动值超额定20,0.29,generated
变频器散热风扇故障 散热片温度达75,变频器过压报警 直流母线电压达800V,0.5,original
传感器抗干扰差 受电磁干扰出现跳变,严重传感器抗干扰差 受电磁干扰出现跳变,0.74,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.86,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.66,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸动作卡顿 换向时出现滞涩现象,0.81,original
传感器量程超限 显示值固定为最大值,传感器抗干扰差 受电磁干扰出现跳变,0.66,original
继电器接触不良 信号传输时断时续,传感器量程超限 显示值固定为最大值,0.34,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.89,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 在负载增加时绕组温度升至105,0.83,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸动作卡顿 在停机时换向时出现滞涩现象,0.75,generated
电机负载达额定120 时出现过热 绕组温度升至105,离心泵密封泄漏 机械密封端面磨损,0.07,generated
继电器接触不良 信号传输时断时续,继电器触点烧蚀 接触电阻增大至5Ω,0.49,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,传感器响应延迟 信号滞后2秒,0.65,generated
传感器无输出信号 接线端子接触不良,电机轴承润滑不足导致转速异常 输出转速波动 5,0.15,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸缓冲装置失效 行程末端冲击过大,0.7,original
变频器过压报警 直流母线电压达800V,变频器参数紊乱 加速时间被异常修改,0.93,original
轴承间隙过大 径向游隙超0 15mm,轴承间隙过大 径向游隙超0 15mm,0.61,generated
电机负载达额定120 时出现过热 绕组温度升至105,传感器响应延迟 信号滞后2秒,0.08,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器触点烧蚀 接触电阻增大至5Ω,0.67,original
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.57,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,持续性液压缸密封件损坏导致漏油 每小时泄漏5ml,0.88,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC通讯故障 与变频器的Modbus连接中断,0.93,original
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.64,original
传感器响应延迟 信号滞后2秒,电机过载停机 故障代码E012 需重启复位,0.09,original
变频器过流跳闸 输出电流超额定30,继电器线圈烧毁 电阻值无穷大,0.49,generated
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 绕组温度升至105,0.65,original
变频器参数紊乱 加速时间被异常修改,电机负载达额定120 时出现过热 绕组温度升至105,0.18,original
轴承滚珠破损 振动频谱出现冲击峰值,液压缸动作卡顿 换向时出现滞涩现象,0.61,generated
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.65,original
液压缸活塞杆变形 伸出时出现偏斜,液压缸动作卡顿 换向时出现滞涩现象,0.66,original
轴承间隙过大 径向游隙超0 15mm,轴承磨损异响 运转时出现周期性异音,0.81,original
电机连续运行8小时后出现异响 振动值超额定20,PLC通讯故障 与变频器的Modbus连接中断,0.17,generated
传感器响应延迟 信号滞后2秒,传感器量程超限 显示值固定为最大值,0.51,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.95,generated
离心泵轴承发热 温度达75,PLC通讯故障 与变频器的Modbus连接中断,0.15,original
PLC通讯故障 与变频器的Modbus连接中断,PLC输入输出点I0 2损坏 无信号输入,0.63,original
电机连续运行8小时后出现异响 振动值超额定20,变频器参数紊乱 加速时间被异常修改,0.27,original
变频器频率漂移 设定50Hz实际输出45Hz,电机连续运行8小时后出现异响 振动值超额定20,0.17,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.61,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.48,original
液压缸压力不足 工作压力仅达额定60,变频器过压报警 直流母线电压达800V,0.19,original
轴承磨损异响 运转时出现周期性异音,轴承磨损异响 运转时出现周期性异音,0.75,generated
离心泵流量不足 出口管路堵塞,离心泵流量不足 出口管路堵塞,0.68,original
传感器响应延迟 信号滞后2秒,传感器响应延迟 轻微信号滞后2秒,0.95,generated
电机连续运行8小时后出现异响 振动值超额定20,变频器频率漂移 设定50Hz实际输出45Hz,0.79,generated
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.95,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.46,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC信号丢失 传感器反馈数据无更新,0.87,original
传感器响应延迟 信号滞后2秒,离心泵轴承发热 温度达75,0.29,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.59,original
电机连续运行8小时后出现异响 振动值超额定20,电机负载达额定120 时出现过热 绕组温度升至105,0.7,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,0.65,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.83,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承温升过高 连续运行2小时后温度达80,0.51,generated
变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,0.69,original
液压缸动作卡顿 换向时出现滞涩现象,PLC程序报错 梯形图逻辑错误导致误动作,0.42,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.41,original
变频器参数紊乱 加速时间被异常修改,变频器频率漂移 设定50Hz实际输出45Hz,0.84,original
变频器过压报警 直流母线电压达800V,变频器过压报警 直流母线电压达800V,0.86,generated
离心泵叶轮磨损 流量下降至额定70,电机过载停机 故障代码E012 需重启复位,0.53,generated
轴承温升过高 连续运行2小时后温度达80,轴承磨损异响 运转时出现周期性异音,0.83,original
离心泵轴承发热 温度达75,离心泵流量不足 出口管路堵塞,0.47,original
PLC程序报错 梯形图逻辑错误导致误动作,继电器误动作 无输入信号时触点自行闭合,0.01,original
传感器抗干扰差 受电磁干扰出现跳变,偶尔传感器抗干扰差 受电磁干扰出现跳变,0.82,generated
继电器接触不良 信号传输时断时续,离心泵密封泄漏 机械密封端面磨损,0.56,generated
PLC程序报错 梯形图逻辑错误导致误动作,变频器散热风扇故障 散热片温度达75,0.19,original
液压缸活塞杆变形 伸出时出现偏斜,PLC信号丢失 传感器反馈数据无更新,0.16,generated
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.82,original
液压缸压力不足 工作压力仅达额定60,液压缸缓冲装置失效 行程末端冲击过大,0.63,original
传感器数值漂移 测量值比实际值高10,传感器无输出信号 接线端子接触不良,0.61,original
